date:number,ugeo:text,coicop_label:text,value:number,total:number,ratio:number
1996,Austria,Transport,73.84,71.77,102.9
1996,Austria,Passenger transport by road,62.64,71.77,87.3
1996,Austria,Passenger transport by railway,59.87,71.77,83.4
1996,Austria,Operation of personal transport equipment,62.14,71.77,86.6
1996,Austria,Passenger cars,91.79,71.77,127.9
1996,Belgium,Operation of personal transport equipment,56.38,70.48,80.0
1996,Belgium,Passenger transport by road,76.51,70.48,108.6
1996,Belgium,Transport,66.58,70.48,94.5
1996,Belgium,Passenger cars,83.4,70.48,118.3
1996,Belgium,Passenger transport by railway,72.22,70.48,102.5
1996,Cyprus,Operation of personal transport equipment,44.57,66.81,66.7
1996,Cyprus,Passenger cars,172.55,66.81,258.3
1996,Cyprus,Transport,76.81,66.81,115.0
1996,Cyprus,Passenger transport by air,95.96,66.81,143.6
1996,Cyprus,Passenger transport by road,47.67,66.81,71.4
1996,Czechia,Transport,72.4,58.8,123.1
1996,Denmark,Passenger cars,91.0,71.6,127.1
1996,Denmark,Passenger transport by road,57.9,71.6,80.9
1996,Denmark,Operation of personal transport equipment,57.4,71.6,80.2
1996,Denmark,Passenger transport by sea and inland waterway,52.0,71.6,72.6
1996,Denmark,Passenger transport by railway,56.0,71.6,78.2
1996,Denmark,Transport,69.6,71.6,97.2
1996,Denmark,Passenger transport by air,92.2,71.6,128.8
1996,Estonia,Operation of personal transport equipment,32.71,45.7,71.6
1996,Estonia,Passenger cars,194.31,45.7,425.2
1996,Estonia,Passenger transport by road,27.44,45.7,60.0
1996,Estonia,Passenger transport by sea and inland waterway,47.01,45.7,102.9
1996,Estonia,Transport,46.09,45.7,100.9
1996,Estonia,Passenger transport by railway,29.4,45.7,64.3
1996,Estonia,Passenger transport by air,36.28,45.7,79.4
1996,Euro area (18 countries),Transport,66.78,71.27,93.7
1996,Euro area (19 countries),Transport,66.76,71.23,93.7
1996,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by sea and inland waterway,55.48,71.74,77.3
1996,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by road,60.18,71.74,83.9
1996,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Transport,66.96,71.74,93.3
1996,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Operation of personal transport equipment,60.72,71.74,84.6
1996,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by air,61.71,71.74,86.0
1996,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger cars,85.58,71.74,119.3
1996,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Passenger transport by railway,60.75,71.74,84.7
1996,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by air,58.15,70.24,82.8
1996,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by sea and inland waterway,51.9,70.24,73.9
1996,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by railway,56.31,70.24,80.2
1996,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger cars,92.2,70.24,131.3
1996,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Operation of personal transport equipment,58.15,70.24,82.8
1996,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Transport,65.64,70.24,93.5
1996,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2019)",Passenger transport by road,53.64,70.24,76.4
1996,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by air,58.21,70.26,82.8
1996,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Transport,65.72,70.26,93.5
1996,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by road,53.86,70.26,76.7
1996,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by railway,56.3,70.26,80.1
1996,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger transport by sea and inland waterway,52.06,70.26,74.1
1996,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Operation of personal transport equipment,58.29,70.26,83.0
1996,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)",Passenger cars,92.54,70.26,131.7
1996,Finland,Passenger transport by railway,54.3,71.77,75.7
1996,Finland,Transport,77.14,71.77,107.5
1996,Finland,Passenger transport by road,54.14,71.77,75.4
1996,Finland,Operation of personal transport equipment,62.26,71.77,86.7
1996,Finland,Passenger transport by air,109.11,71.77,152.0
1996,Finland,Passenger transport by sea and inland waterway,58.72,71.77,81.8
1996,Finland,Passenger cars,125.37,71.77,174.7
1996,France,Passenger transport by sea and inland waterway,72.55,74.93,96.8
1996,France,Transport,69.87,74.93,93.2
1996,France,Passenger transport by air,72.83,74.93,97.2
1996,France,Passenger cars,87.04,74.93,116.2
1996,France,Passenger transport by road,83.3,74.93,111.2
1996,France,Operation of personal transport equipment,62.69,74.93,83.7
1996,France,Passenger transport by railway,65.38,74.93,87.3
1996,Germany (until 1990 former territory of the FRG),Passenger transport by railway,60.5,75.7,79.9
1996,Germany (until 1990 former territory of the FRG),Transport,69.3,75.7,91.5
1996,Germany (until 1990 former territory of the FRG),Operation of personal transport equipment,65.7,75.7,86.8
1996,Germany (until 1990 former territory of the FRG),Passenger transport by air,53.8,75.7,71.1
